,person,state,district,vote,name,party,session
352,412244,MT,,Yea,"Sen. Jon Tester [D, 2007-2024]",Democrat,4
353,412246,PA,,Yea,"Sen. Robert “Bob” Casey Jr. [D, 2007-2024]",Democrat,4
354,412247,RI,,Yea,"Sen. Sheldon Whitehouse [D, 2007-2024]",Democrat,4
355,412248,TN,,Yea,"Sen. Bob Corker [R, 2007-2018]",Republican,4
356,412251,WY,,Yea,"Sen. John Barrasso [R, 2007-2018]",Republican,4
357,412269,LA,,Yea,Sen. Bill Cassidy [R],Republican,4
358,412281,NM,,Yea,"Sen. Martin Heinrich [D, 2013-2024]",Democrat,4
359,412305,MI,,Yea,Sen. Gary Peters [D],Democrat,4
360,412321,VA,,Yea,Sen. Mark Warner [D],Democrat,4
361,412322,ID,,Yea,Sen. James Risch [R],Republican,4
362,412323,NH,,Yea,Sen. Jeanne Shaheen [D],Democrat,4
363,412325,OR,,Yea,Sen. Jeff Merkley [D],Democrat,4
364,412330,CO,,Yea,Sen. Michael Bennet [D],Democrat,4
365,412390,DE,,Yea,Sen. Chris Coons [D],Democrat,4
